AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
MDW,Chicago Midway International Airport,109,0,24,0,0,0,0,7,5,5,1,2024-10-01,2,0900 - 1000,2024-10-09 00:00:00,24,9,76,24,A398,Main Terminal,138,4,62,24
MDW,Chicago Midway International Airport,53,0,0,0,0,0,0,4,4,1,1,2024-10-01,3,1600 - 1700,2024-10-09 00:00:00,11,5,44,11,A398,Main Terminal,54,3,10,6
MDW,Chicago Midway International Airport,246,0,69,0,0,0,0,8,4,6,2,2024-10-01,41,1800 - 1900,2024-10-09 00:00:00,30,13,49,30,A398,Main Terminal,321,7,272,30
MDW,Chicago Midway International Airport,0,0,33,78,19,0,0,37,4,4,1,2024-10-01,4,2000 - 2100,2024-10-09 00:00:00,51,40,62,51,A398,Main Terminal,134,34,72,51
MDW,Chicago Midway International Airport,101,0,34,0,0,0,0,10,4,4,1,2024-10-01,2,2100 - 2200,2024-10-09 00:00:00,23,13,43,23,A398,Main Terminal,139,9,96,23
MDW,Chicago Midway International Airport,49,0,29,0,0,0,0,11,4,3,1,2024-10-02,1,0800 - 0900,2024-10-10 00:00:00,22,12,50,22,A398,Main Terminal,81,8,31,19
MDW,Chicago Midway International Airport,98,0,25,0,0,0,0,9,5,3,1,2024-10-02,0,0900 - 1000,2024-10-10 00:00:00,19,10,76,19,A398,Main Terminal,126,8,50,19
MDW,Chicago Midway International Airport,98,0,0,0,0,0,0,4,4,5,1,2024-10-02,0,1100 - 1200,2024-10-10 00:00:00,14,4,56,14,A398,Main Terminal,103,4,47,14
MDW,Chicago Midway International Airport,162,0,3,0,0,0,0,3,5,6,2,2024-10-02,2,1600 - 1700,2024-10-10 00:00:00,16,4,89,16,A398,Main Terminal,171,3,82,16
MDW,Chicago Midway International Airport,139,0,0,0,0,0,0,2,4,1,1,2024-10-02,9,1700 - 1800,2024-10-10 00:00:00,8,0,2,0,A398,Main Terminal,140,2,138,8
MDW,Chicago Midway International Airport,34,0,88,36,0,0,0,22,5,4,1,2024-10-02,0,1900 - 2000,2024-10-10 00:00:00,38,24,84,38,A398,Main Terminal,162,21,78,37
MDW,Chicago Midway International Airport,115,0,28,0,0,0,0,9,5,6,2,2024-10-02,5,2100 - 2200,2024-10-10 00:00:00,18,9,57,18,A398,Main Terminal,149,9,92,18
MDW,Chicago Midway International Airport,45,0,32,0,0,0,0,14,3,2,1,2024-10-03,4,0800 - 0900,2024-10-11 00:00:00,28,16,52,28,A398,Main Terminal,79,12,27,28
MDW,Chicago Midway International Airport,118,0,45,0,0,0,0,10,4,2,2,2024-10-03,9,0900 - 1000,2024-10-11 00:00:00,24,11,134,24,A398,Main Terminal,165,8,31,14
MDW,Chicago Midway International Airport,80,0,49,6,0,0,0,14,3,7,1,2024-10-03,0,1000 - 1100,2024-10-11 00:00:00,31,19,61,31,A398,Main Terminal,142,10,81,31
MDW,Chicago Midway International Airport,72,0,0,0,0,0,0,1,4,1,1,2024-10-03,12,1600 - 1700,2024-10-11 00:00:00,10,2,61,10,A398,Main Terminal,73,0,12,3
