AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
MDW,Chicago Midway International Airport,46,0,30,0,0,0,0,12,4,3,1,2024-06-01,0,0800 - 0900,2024-08-05 10:22:59,29,17,48,29,A398,Main Terminal,79,6,31,25
MDW,Chicago Midway International Airport,25,0,64,29,0,0,0,23,4,3,1,2024-06-01,0,0900 - 1000,2024-08-05 10:22:59,39,25,68,39,A398,Main Terminal,121,21,53,39
MDW,Chicago Midway International Airport,41,0,50,57,2,0,0,24,5,4,2,2024-06-01,5,1100 - 1200,2024-08-05 10:22:59,47,30,99,47,A398,Main Terminal,154,15,55,41
MDW,Chicago Midway International Airport,216,0,24,0,0,0,0,4,5,8,2,2024-06-01,3,1600 - 1700,2024-08-05 10:22:59,22,11,68,22,A398,Main Terminal,248,2,180,18
MDW,Chicago Midway International Airport,152,0,0,0,0,0,0,3,5,2,1,2024-06-01,10,1700 - 1800,2024-08-05 10:22:59,10,3,10,10,A398,Main Terminal,154,3,144,10
MDW,Chicago Midway International Airport,94,0,31,0,0,0,0,9,5,4,1,2024-06-01,2,1800 - 1900,2024-08-05 10:22:59,24,11,58,24,A398,Main Terminal,129,8,71,24
MDW,Chicago Midway International Airport,208,0,21,0,0,0,0,5,5,6,2,2024-06-01,4,1900 - 2000,2024-08-05 10:22:59,21,9,7,21,A398,Main Terminal,235,5,228,21
MDW,Chicago Midway International Airport,112,0,2,0,0,0,0,7,5,7,1,2024-06-01,3,2100 - 2200,2024-08-05 10:22:59,16,9,43,16,A398,Main Terminal,121,7,78,16
MDW,Chicago Midway International Airport,130,0,44,0,0,0,0,10,5,5,2,2024-06-02,0,0900 - 1000,2024-08-05 10:22:59,25,11,87,25,A398,Main Terminal,179,9,92,25
MDW,Chicago Midway International Airport,41,0,0,0,0,0,0,4,5,1,1,2024-06-02,4,1100 - 1200,2024-08-05 10:22:59,9,4,31,9,A398,Main Terminal,42,3,11,7
MDW,Chicago Midway International Airport,367,0,0,0,0,0,0,4,5,2,3,2024-06-02,38,1600 - 1700,2024-08-05 10:22:59,13,7,37,13,A398,Main Terminal,369,4,332,13
MDW,Chicago Midway International Airport,8,0,0,0,0,0,0,2,1,2,1,2024-06-02,0,1800 - 1900,2024-08-05 10:22:59,5,0,0,0,A398,Main Terminal,10,2,10,5
MDW,Chicago Midway International Airport,120,0,162,0,0,0,0,16,4,6,3,2024-06-02,15,1900 - 2000,2024-08-05 10:22:59,30,15,55,30,A398,Main Terminal,288,16,233,30
MDW,Chicago Midway International Airport,166,0,0,0,0,0,0,2,4,5,1,2024-06-02,20,2000 - 2100,2024-08-05 10:22:59,7,4,3,7,A398,Main Terminal,171,2,168,7
MDW,Chicago Midway International Airport,135,0,37,0,0,0,0,9,4,8,2,2024-06-02,5,2100 - 2200,2024-08-05 10:22:59,24,12,69,24,A398,Main Terminal,180,7,111,24
MDW,Chicago Midway International Airport,57,0,10,0,0,0,0,8,3,4,1,2024-06-03,2,0800 - 0900,2024-08-05 10:22:59,19,10,38,19,A398,Main Terminal,71,6,33,19
MDW,Chicago Midway International Airport,94,0,44,10,0,0,0,12,3,7,2,2024-06-03,11,0900 - 1000,2024-08-05 10:22:59,34,14,99,34,A398,Main Terminal,155,8,56,34
MDW,Chicago Midway International Airport,72,0,4,0,0,0,0,6,4,4,1,2024-06-03,1,1000 - 1100,2024-08-05 10:22:59,16,8,39,16,A398,Main Terminal,80,5,41,14
MDW,Chicago Midway International Airport,81,0,0,0,0,0,0,6,5,4,1,2024-06-03,0,1100 - 1200,2024-08-05 10:22:59,14,7,51,14,A398,Main Terminal,85,5,34,10
MDW,Chicago Midway International Airport,41,0,0,0,0,0,0,0,5,2,1,2024-06-03,3,1600 - 1700,2024-08-05 10:22:59,4,0,30,4,A398,Main Terminal,43,0,13,2
MDW,Chicago Midway International Airport,114,0,135,149,0,0,0,22,4,12,3,2024-06-03,23,2000 - 2100,2024-08-05 10:22:59,43,26,42,43,A398,Main Terminal,410,22,368,42
