AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
MDW,Chicago Midway International Airport,58,0,0,0,0,0,0,4,4,0,1,2024-08-01,5,0800 - 0900,2024-08-09 00:00:00,11,4,46,11,A398,Main Terminal,58,2,12,9
MDW,Chicago Midway International Airport,157,0,128,51,2,0,0,17,4,6,2,2024-08-01,5,0900 - 1000,2024-08-09 00:00:00,46,17,220,46,A398,Main Terminal,344,18,124,42
MDW,Chicago Midway International Airport,71,0,88,68,0,0,0,21,5,6,3,2024-08-01,12,1000 - 1100,2024-08-09 00:00:00,38,19,121,38,A398,Main Terminal,233,24,112,38
MDW,Chicago Midway International Airport,68,0,0,0,0,0,0,7,4,2,1,2024-08-01,9,1600 - 1700,2024-08-09 00:00:00,13,8,46,13,A398,Main Terminal,70,4,24,10
MDW,Chicago Midway International Airport,587,0,101,0,0,0,0,7,5,14,4,2024-08-01,26,1900 - 2000,2024-08-09 00:00:00,27,9,58,26,A398,Main Terminal,702,7,644,27
MDW,Chicago Midway International Airport,120,0,42,0,0,0,0,11,4,2,1,2024-08-01,0,2100 - 2200,2024-08-09 00:00:00,25,13,79,25,A398,Main Terminal,164,8,85,25
MDW,Chicago Midway International Airport,0,0,51,18,0,0,0,26,2,3,1,2024-08-02,15,0800 - 0900,2024-08-10 00:00:00,37,27,55,37,A398,Main Terminal,72,23,17,30
MDW,Chicago Midway International Airport,40,0,104,115,80,0,0,32,5,5,2,2024-08-02,1,0900 - 1000,2024-08-10 00:00:00,57,39,214,57,A398,Main Terminal,344,22,130,57
MDW,Chicago Midway International Airport,23,0,97,119,0,0,0,29,5,8,2,2024-08-02,13,1000 - 1100,2024-08-10 00:00:00,45,31,123,45,A398,Main Terminal,247,27,124,44
MDW,Chicago Midway International Airport,99,0,57,17,0,0,0,14,5,2,1,2024-08-02,0,1100 - 1200,2024-08-10 00:00:00,35,18,88,35,A398,Main Terminal,175,10,87,35
MDW,Chicago Midway International Airport,71,0,0,0,0,0,0,3,4,1,1,2024-08-02,5,1600 - 1700,2024-08-10 00:00:00,9,4,59,9,A398,Main Terminal,72,1,13,3
MDW,Chicago Midway International Airport,166,0,2,0,0,0,0,5,3,5,1,2024-08-02,7,1800 - 1900,2024-08-10 00:00:00,16,8,15,16,A398,Main Terminal,173,5,158,16
MDW,Chicago Midway International Airport,298,0,34,0,0,0,0,5,3,10,2,2024-08-02,26,1900 - 2000,2024-08-10 00:00:00,28,9,52,23,A398,Main Terminal,342,4,290,28
MDW,Chicago Midway International Airport,0,0,79,93,0,0,0,32,3,3,1,2024-08-02,15,2000 - 2100,2024-08-10 00:00:00,42,34,6,41,A398,Main Terminal,175,32,169,42
MDW,Chicago Midway International Airport,144,0,75,27,0,0,0,14,3,7,2,2024-08-02,1,2100 - 2200,2024-08-10 00:00:00,35,15,121,35,A398,Main Terminal,253,13,132,35
MDW,Chicago Midway International Airport,141,0,132,78,0,0,0,19,4,11,2,2024-08-03,6,0900 - 1000,2024-08-11 00:00:05,43,22,152,43,A398,Main Terminal,362,18,210,43
MDW,Chicago Midway International Airport,185,0,44,0,0,0,0,7,5,8,2,2024-08-03,7,1100 - 1200,2024-08-11 00:00:05,23,7,145,23,A398,Main Terminal,237,7,92,20
MDW,Chicago Midway International Airport,170,0,0,0,0,0,0,7,4,1,1,2024-08-03,10,1400 - 1500,2024-08-11 00:00:05,15,12,1,12,A398,Main Terminal,171,7,170,15
MDW,Chicago Midway International Airport,7,0,82,83,0,0,0,29,4,5,1,2024-08-03,2,1600 - 1700,2024-08-11 00:00:05,45,31,63,45,A398,Main Terminal,177,28,114,44
MDW,Chicago Midway International Airport,174,0,0,0,0,0,0,5,4,2,1,2024-08-03,6,1700 - 1800,2024-08-11 00:00:05,12,0,1,0,A398,Main Terminal,176,5,175,12
MDW,Chicago Midway International Airport,26,0,46,68,40,0,0,32,4,6,1,2024-08-03,9,1800 - 1900,2024-08-11 00:00:05,53,36,27,53,A398,Main Terminal,186,32,159,53
MDW,Chicago Midway International Airport,7,0,54,14,0,0,0,25,3,0,1,2024-08-03,7,1900 - 2000,2024-08-11 00:00:05,32,25,39,32,A398,Main Terminal,75,24,36,32
MDW,Chicago Midway International Airport,199,0,183,124,10,0,0,19,3,10,3,2024-08-03,25,2000 - 2100,2024-08-11 00:00:05,47,29,53,47,A398,Main Terminal,526,18,473,47
MDW,Chicago Midway International Airport,198,0,146,11,0,0,0,14,4,6,2,2024-08-04,0,0900 - 1000,2024-08-12 00:00:00,32,15,140,32,A398,Main Terminal,361,13,221,32
MDW,Chicago Midway International Airport,71,0,0,0,0,0,0,0,4,2,1,2024-08-04,14,1100 - 1200,2024-08-12 00:00:00,4,1,45,4,A398,Main Terminal,73,0,28,4
MDW,Chicago Midway International Airport,192,0,16,0,0,0,0,7,4,3,2,2024-08-04,25,1600 - 1700,2024-08-12 00:00:00,17,5,47,16,A398,Main Terminal,211,8,164,17
MDW,Chicago Midway International Airport,445,0,79,0,0,0,0,7,4,13,3,2024-08-04,20,1900 - 2000,2024-08-12 00:00:00,27,13,66,27,A398,Main Terminal,537,6,471,27
MDW,Chicago Midway International Airport,143,0,0,0,0,0,0,2,4,1,1,2024-08-04,11,2000 - 2100,2024-08-12 00:00:00,7,1,3,5,A398,Main Terminal,144,2,141,7
MDW,Chicago Midway International Airport,179,0,49,0,0,0,0,10,4,3,2,2024-08-04,9,2100 - 2200,2024-08-12 00:00:00,28,13,76,28,A398,Main Terminal,231,8,155,28
MDW,Chicago Midway International Airport,125,0,90,72,63,0,0,25,4,9,2,2024-08-05,4,0900 - 1000,2024-08-13 00:00:00,57,32,181,57,A398,Main Terminal,359,20,178,57
MDW,Chicago Midway International Airport,71,0,0,0,0,0,0,4,4,3,1,2024-08-05,12,1000 - 1100,2024-08-13 00:00:00,9,5,51,9,A398,Main Terminal,74,2,23,5
MDW,Chicago Midway International Airport,209,0,118,0,0,0,0,12,4,11,2,2024-08-05,1,1100 - 1200,2024-08-13 00:00:00,29,17,122,29,A398,Main Terminal,338,9,216,28
MDW,Chicago Midway International Airport,77,0,90,6,0,0,0,16,5,1,1,2024-08-05,2,1200 - 1300,2024-08-13 00:00:00,31,20,70,31,A398,Main Terminal,174,14,104,30
MDW,Chicago Midway International Airport,70,0,0,0,0,0,0,3,5,4,1,2024-08-05,11,1600 - 1700,2024-08-13 00:00:00,7,3,23,7,A398,Main Terminal,74,3,51,7
MDW,Chicago Midway International Airport,237,0,86,0,0,0,0,11,4,8,2,2024-08-05,11,1900 - 2000,2024-08-13 00:00:00,26,13,53,26,A398,Main Terminal,331,11,278,26
MDW,Chicago Midway International Airport,145,0,19,0,0,0,0,8,4,6,2,2024-08-05,0,2100 - 2200,2024-08-13 00:00:00,18,11,50,18,A398,Main Terminal,170,7,120,18
MDW,Chicago Midway International Airport,72,0,0,0,0,0,0,4,4,3,1,2024-08-05,8,2200 - 2300,2024-08-13 00:00:00,10,5,37,10,A398,Main Terminal,75,2,38,10
MDW,Chicago Midway International Airport,47,0,65,68,5,0,0,26,3,2,1,2024-08-06,0,0900 - 1000,2024-08-14 00:00:00,46,28,82,46,A398,Main Terminal,187,24,105,45
MDW,Chicago Midway International Airport,70,0,0,0,0,0,0,5,3,0,1,2024-08-06,6,1000 - 1100,2024-08-14 00:00:00,14,5,53,14,A398,Main Terminal,70,2,17,14
MDW,Chicago Midway International Airport,74,0,0,0,0,0,0,1,4,0,1,2024-08-06,4,1600 - 1700,2024-08-14 00:00:00,7,2,63,7,A398,Main Terminal,74,1,11,6
MDW,Chicago Midway International Airport,224,0,96,23,0,0,0,11,5,8,2,2024-08-06,9,1800 - 1900,2024-08-14 00:00:00,36,22,50,36,A398,Main Terminal,351,9,301,36
MDW,Chicago Midway International Airport,85,0,74,0,0,0,0,13,4,7,1,2024-08-06,0,1900 - 2000,2024-08-14 00:00:00,26,13,56,26,A398,Main Terminal,166,13,110,26
MDW,Chicago Midway International Airport,189,0,0,0,0,0,0,2,4,7,2,2024-08-06,2,2100 - 2200,2024-08-14 00:00:00,11,2,72,10,A398,Main Terminal,196,2,124,11
MDW,Chicago Midway International Airport,118,0,87,94,89,16,0,29,4,21,3,2024-08-07,8,0900 - 1000,2024-08-15 00:00:00,66,37,251,66,A398,Main Terminal,425,18,174,63
MDW,Chicago Midway International Airport,69,0,53,25,0,0,0,17,4,7,1,2024-08-07,0,1100 - 1200,2024-08-15 00:00:00,37,19,90,37,A398,Main Terminal,154,13,64,37
MDW,Chicago Midway International Airport,15,0,0,0,0,0,0,1,1,2,2,2024-08-07,0,1500 - 1600,2024-08-15 00:00:00,3,0,0,0,A398,Main Terminal,17,1,17,3
MDW,Chicago Midway International Airport,104,0,80,59,0,0,0,19,5,12,2,2024-08-07,6,1600 - 1700,2024-08-15 00:00:00,36,22,80,36,A398,Main Terminal,255,17,175,36
MDW,Chicago Midway International Airport,171,0,0,0,0,0,0,4,3,6,1,2024-08-07,23,1800 - 1900,2024-08-15 00:00:00,15,5,4,10,A398,Main Terminal,177,4,173,15
MDW,Chicago Midway International Airport,125,0,44,0,0,0,0,11,4,5,1,2024-08-07,0,1900 - 2000,2024-08-15 00:00:00,26,15,48,26,A398,Main Terminal,174,9,126,26
MDW,Chicago Midway International Airport,165,0,49,0,0,0,0,9,4,7,2,2024-08-07,8,2100 - 2200,2024-08-15 00:00:00,26,12,87,26,A398,Main Terminal,221,7,134,26
MDW,Chicago Midway International Airport,119,0,112,68,40,0,0,23,4,12,2,2024-08-08,2,0900 - 1000,2024-08-16 00:00:00,57,29,200,57,A398,Main Terminal,351,15,151,57
MDW,Chicago Midway International Airport,66,0,88,85,0,0,0,24,3,13,2,2024-08-08,12,1000 - 1100,2024-08-16 00:00:00,45,31,109,45,A398,Main Terminal,252,18,143,42
MDW,Chicago Midway International Airport,73,0,0,0,0,0,0,8,5,2,1,2024-08-08,9,1600 - 1700,2024-08-16 00:00:00,14,9,66,14,A398,Main Terminal,75,8,9,10
MDW,Chicago Midway International Airport,199,0,62,53,3,0,0,14,3,10,2,2024-08-08,12,1800 - 1900,2024-08-16 00:00:00,46,25,55,46,A398,Main Terminal,327,12,272,46
MDW,Chicago Midway International Airport,136,0,82,14,0,0,0,14,4,8,2,2024-08-08,10,2100 - 2200,2024-08-16 00:00:00,34,14,120,34,A398,Main Terminal,240,13,120,34
MDW,Chicago Midway International Airport,132,0,123,81,0,0,0,20,4,11,2,2024-08-09,0,0900 - 1000,2024-08-17 00:00:00,43,24,187,43,A398,Main Terminal,347,15,160,43
MDW,Chicago Midway International Airport,47,0,57,49,14,0,0,26,4,5,1,2024-08-09,0,1000 - 1100,2024-08-17 00:00:00,48,30,51,48,A398,Main Terminal,172,25,121,48
MDW,Chicago Midway International Airport,137,0,104,0,0,0,0,13,4,5,2,2024-08-09,7,1100 - 1200,2024-08-17 00:00:00,30,14,154,30,A398,Main Terminal,246,12,92,27
MDW,Chicago Midway International Airport,71,0,0,0,0,0,0,5,4,2,1,2024-08-09,3,1700 - 1800,2024-08-17 00:00:00,11,5,55,11,A398,Main Terminal,73,3,18,6
MDW,Chicago Midway International Airport,145,0,0,0,0,0,0,2,4,0,1,2024-08-09,12,1800 - 1900,2024-08-17 00:00:00,7,0,2,1,A398,Main Terminal,145,2,143,7
MDW,Chicago Midway International Airport,85,0,94,0,0,0,0,16,4,2,1,2024-08-09,0,1900 - 2000,2024-08-17 00:00:00,30,19,79,30,A398,Main Terminal,181,14,102,28
MDW,Chicago Midway International Airport,94,0,63,0,0,0,0,13,4,9,1,2024-08-09,0,2100 - 2200,2024-08-17 00:00:00,27,14,59,27,A398,Main Terminal,166,12,107,27
MDW,Chicago Midway International Airport,71,0,0,0,0,0,0,7,4,0,1,2024-08-09,4,2200 - 2300,2024-08-17 00:00:00,13,6,50,13,A398,Main Terminal,71,9,21,13
MDW,Chicago Midway International Airport,112,0,148,95,0,0,0,21,4,7,2,2024-08-10,2,0900 - 1000,2024-08-18 00:00:00,45,23,169,45,A398,Main Terminal,362,19,193,44
MDW,Chicago Midway International Airport,163,0,72,0,0,0,0,11,4,7,2,2024-08-10,8,1100 - 1200,2024-08-18 00:00:00,26,12,127,26,A398,Main Terminal,242,10,115,26
MDW,Chicago Midway International Airport,107,0,71,0,0,0,0,13,4,5,1,2024-08-10,1,1600 - 1700,2024-08-18 00:00:00,27,16,45,27,A398,Main Terminal,183,12,138,27
MDW,Chicago Midway International Airport,174,0,0,0,0,0,0,5,4,0,1,2024-08-10,13,1700 - 1800,2024-08-18 00:00:00,12,1,2,2,A398,Main Terminal,174,5,172,12
MDW,Chicago Midway International Airport,251,0,0,0,0,0,0,3,5,1,2,2024-08-10,12,1900 - 2000,2024-08-18 00:00:00,15,2,75,13,A398,Main Terminal,252,4,177,15
MDW,Chicago Midway International Airport,130,0,29,2,0,0,0,8,4,4,1,2024-08-10,0,2100 - 2200,2024-08-18 00:00:00,31,13,56,31,A398,Main Terminal,165,5,109,29
MDW,Chicago Midway International Airport,133,0,166,49,0,0,0,19,5,11,2,2024-08-11,3,0900 - 1000,2024-08-19 00:00:00,43,23,148,43,A398,Main Terminal,359,17,211,43
MDW,Chicago Midway International Airport,77,0,0,0,0,0,0,3,5,2,1,2024-08-11,8,1200 - 1300,2024-08-19 00:00:00,11,3,61,11,A398,Main Terminal,79,1,18,7
MDW,Chicago Midway International Airport,69,0,0,0,0,0,0,6,4,4,1,2024-08-11,13,1700 - 1800,2024-08-19 00:00:00,12,6,46,12,A398,Main Terminal,73,4,27,12
MDW,Chicago Midway International Airport,140,0,0,0,0,0,0,3,5,1,1,2024-08-11,20,1900 - 2000,2024-08-19 00:00:00,9,7,2,8,A398,Main Terminal,141,3,139,9
MDW,Chicago Midway International Airport,95,0,90,0,0,0,0,13,3,3,1,2024-08-11,0,2000 - 2100,2024-08-19 00:00:00,30,11,56,29,A398,Main Terminal,188,14,132,30
MDW,Chicago Midway International Airport,121,0,65,30,0,0,0,14,3,4,2,2024-08-11,9,2100 - 2200,2024-08-19 00:00:00,44,23,70,44,A398,Main Terminal,220,10,150,44
MDW,Chicago Midway International Airport,182,0,124,19,0,0,0,13,4,8,2,2024-08-12,1,0900 - 1000,2024-08-20 00:00:00,34,16,136,34,A398,Main Terminal,333,12,197,34
MDW,Chicago Midway International Airport,70,0,146,40,0,0,0,20,4,6,2,2024-08-12,6,1000 - 1100,2024-08-20 00:00:00,39,23,114,39,A398,Main Terminal,262,19,148,39
MDW,Chicago Midway International Airport,127,0,38,0,0,0,0,9,5,1,1,2024-08-12,1,1100 - 1200,2024-08-20 00:00:00,22,11,55,22,A398,Main Terminal,166,8,111,22
MDW,Chicago Midway International Airport,106,0,64,1,0,0,0,12,5,6,1,2024-08-12,0,1200 - 1300,2024-08-20 00:00:00,33,15,66,29,A398,Main Terminal,177,10,111,33
MDW,Chicago Midway International Airport,76,0,0,0,0,0,0,5,4,1,1,2024-08-12,9,1600 - 1700,2024-08-20 00:00:00,11,5,50,11,A398,Main Terminal,77,4,27,11
MDW,Chicago Midway International Airport,141,0,0,0,0,0,0,2,5,4,1,2024-08-12,12,1800 - 1900,2024-08-20 00:00:00,7,3,5,7,A398,Main Terminal,145,2,140,7
MDW,Chicago Midway International Airport,176,0,0,0,0,0,0,2,5,6,1,2024-08-12,0,1900 - 2000,2024-08-20 00:00:00,12,3,59,12,A398,Main Terminal,182,2,123,12
MDW,Chicago Midway International Airport,94,0,101,31,0,0,0,19,4,6,2,2024-08-12,4,2100 - 2200,2024-08-20 00:00:00,36,21,77,36,A398,Main Terminal,232,18,155,36
MDW,Chicago Midway International Airport,89,0,88,8,0,0,0,16,5,4,1,2024-08-13,1,0900 - 1000,2024-08-21 00:00:00,34,18,77,34,A398,Main Terminal,189,14,112,34
MDW,Chicago Midway International Airport,66,0,0,0,0,0,0,7,4,3,1,2024-08-13,8,1000 - 1100,2024-08-21 00:00:00,14,9,56,14,A398,Main Terminal,69,1,13,3
MDW,Chicago Midway International Airport,74,0,0,0,0,0,0,3,4,4,1,2024-08-13,6,1600 - 1700,2024-08-21 00:00:00,8,3,36,8,A398,Main Terminal,78,3,42,8
MDW,Chicago Midway International Airport,164,0,0,0,0,0,0,7,4,10,1,2024-08-13,15,1700 - 1800,2024-08-21 00:00:00,12,6,2,10,A398,Main Terminal,174,7,172,12
MDW,Chicago Midway International Airport,150,0,107,78,6,0,0,20,3,12,2,2024-08-13,0,1900 - 2000,2024-08-21 00:00:00,48,28,115,48,A398,Main Terminal,353,16,238,46
MDW,Chicago Midway International Airport,143,0,91,0,0,0,0,12,3,6,2,2024-08-13,12,2100 - 2200,2024-08-21 00:00:00,27,12,88,27,A398,Main Terminal,240,12,152,27
MDW,Chicago Midway International Airport,65,0,92,67,54,133,15,46,5,5,3,2024-08-14,13,0900 - 1000,2024-08-22 00:00:00,96,56,234,96,A398,Main Terminal,431,34,197,87
MDW,Chicago Midway International Airport,21,0,92,47,0,0,0,25,5,5,1,2024-08-14,0,1100 - 1200,2024-08-22 00:00:00,42,29,75,42,A398,Main Terminal,165,21,90,41
MDW,Chicago Midway International Airport,154,0,82,0,0,0,0,11,5,12,2,2024-08-14,6,1600 - 1700,2024-08-22 00:00:00,26,11,110,26,A398,Main Terminal,248,11,138,26
MDW,Chicago Midway International Airport,166,0,0,0,0,0,0,8,5,4,1,2024-08-14,7,1700 - 1800,2024-08-22 00:00:00,15,8,7,13,A398,Main Terminal,170,8,163,15
MDW,Chicago Midway International Airport,126,0,49,0,0,0,0,10,4,9,1,2024-08-14,0,1900 - 2000,2024-08-22 00:00:00,25,14,62,25,A398,Main Terminal,184,8,122,25
MDW,Chicago Midway International Airport,162,0,52,0,0,0,0,9,4,9,2,2024-08-14,3,2100 - 2200,2024-08-22 00:00:00,27,10,113,27,A398,Main Terminal,223,8,110,27
MDW,Chicago Midway International Airport,52,0,167,122,0,0,0,26,4,8,2,2024-08-15,0,0900 - 1000,2024-08-23 00:00:00,42,28,194,42,A398,Main Terminal,349,23,155,42
