,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,100167.214434393,95916.30855799385,91665.40281292239,87414.49366150715,83163.6375097942,78912.19852308261,74664.2306413744,68499.9277395471,62335.62482661645,56171.32204479999,50007.02718188279,43842.837187746656,37677.12668818027,31445.041869105367,25212.959118047307,18980.862632831246,12748.231388662387,6532.781490375748,0.0
1,100214.96323928527,95964.05733824542,91713.15198293624,87462.23847421145,83211.41073686797,78960.10723825637,74705.93533174932,68541.63243059284,62377.329517856866,56213.02642768057,50048.72501315792,43884.54099971618,37722.00365151276,31489.918749581168,25257.83515941738,19025.787364363518,12792.551038670343,6566.812266353485,300.0
2,100263.53057303351,96012.62464547041,91761.71970307425,87510.80165261758,83260.0023526346,79008.86778964748,74748.25082396885,68583.9479235046,62419.64501166975,56255.34161794843,50091.03342365719,43926.848356561924,37767.5422841745,31535.457299516067,25303.372737422214,19071.37619992406,12837.545740990687,6601.291032275724,600.0
3,100312.92104872268,96062.0150927709,91811.11058587517,87560.18781885244,83309.41686496249,79058.4858393352,74791.1915857772,68626.88868602576,62462.58577585002,56298.28208487652,50133.96688963559,43969.77320858046,37813.75163921884,31581.666572193775,25349.58090250021,19117.638177868805,12883.226960112122,6636.260220705608,900.0
4,100363.13717154674,96112.23118537535,91861.32713578234,87610.39948881527,83359.65667304731,79108.96466975259,74834.77123415968,68670.46833514067,62506.16542743156,56341.861446999545,50177.539037930284,44013.32867963891,37860.63967415921,31628.554525369036,25396.4676095749,19164.581209227843,12929.605024306438,6671.7653900181585,1200.0
5,100414.1793286527,96163.27331048361,91912.36973898408,87661.43706200364,83410.72205839808,79160.30514610212,74879.00246301795,68714.69956474987,62550.39666036235,56386.09239977668,50221.76257362749,44057.52699701625,37908.21319935772,31676.127969645466,25444.03966720731,19212.212051603223,12976.689062020458,6707.85535450128,1500.0
6,100466.04579706874,96215.139745195,91964.23667133968,87713.29882939911,83462.61119395326,79212.50569958985,74923.89697452167,68759.5940770217,62595.29117685504,56430.98664692906,50266.649211393,44102.37942853782,37956.47784240023,31724.39253284891,25492.30270202518,19260.53626467222,13024.486943916352,6744.582308988185,1800.0
7,100518.73276961005,96267.8266824149,92016.92412428773,87765.98099930694,83515.32017120544,79265.56233199524,74969.46541434708,68805.1625176311,62640.85962262742,56476.55483572007,50312.20961087972,44147.896224014614,38005.438018846195,31773.352630775116,25541.261129519946,19309.558180751865,13073.005231159388,6782.001946593889,2100.0
8,100572.23439838657,96321.32827436211,92070.42624835765,87819.47774077156,83568.8430449379,79319.46864179554,75015.71730849965,68851.41441258203,62687.11152371848,56522.806493609256,50358.45331298784,44194.086561519565,38055.0969096265,31823.01144458571,25590.918131484388,19359.280882159466,13122.249130509636,6820.173568059073,2400.0
9,100626.54285525896,96375.63669302461,92124.73521363405,87873.78124391586,83623.1718949033,79374.2158717537,75062.66101702691,68898.35812192044,62734.055240206326,56569.749982093235,50405.38869396004,44240.95849899666,38105.45644529967,31873.370905062195,25641.275640300093,19409.706185586932,13172.222456722775,6859.160181138737,2700.0
