,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,59686.074563247916,56681.10426496855,53676.133966502886,50671.163664030966,47666.193274802026,44661.22093404271,41656.195153955945,37746.57675905502,33836.95835778934,29927.339846577353,26017.719431214653,22108.06539675808,18197.745673382935,15169.59524912724,12141.443888272091,9113.281511408226,6084.986481280263,3054.8956205073987,0.0
1,59731.77478089962,56726.80448264872,53721.834184795356,50716.863895552655,47711.89380019464,44706.92900942445,41702.290984622,37792.672590497095,33883.05420263531,29973.43592338727,26063.819580726096,22154.24391565014,18245.94164636654,15217.791324230828,12189.641163152386,9161.493085078699,6133.3838778940535,3106.089256899111,100.0
2,59777.562549534094,56772.59225131563,53767.62195415938,50762.651679973394,47757.68191844515,44752.72562089188,41748.499531073634,37838.881137809614,33929.26276481765,30019.644742867647,26110.032913239847,22200.54360772068,18294.444300781783,15266.294089756357,12238.145233904326,9210.012690553387,6182.104269113168,3157.8721787940513,200.0
3,59823.44717154127,56818.47687335965,53813.50657699567,50808.53631991581,47803.5669369263,44798.62017498725,41794.830460857505,37885.21206854714,33975.59371202647,30065.975975046524,26156.369138833794,22246.974843609314,18343.276243074622,15315.126152672436,12286.978713604445,9258.863009718538,6231.171021668008,3210.2872433197185,300.0
4,59869.43871371617,56864.46841557638,53859.49812011124,50854.52788243106,47849.55892790191,44844.6228509476,41841.29405261421,37931.675661358626,34022.0573230557,30112.4399012181,26202.838581562453,22293.548644109873,18392.46099700083,15364.311037255886,12336.165132616554,9308.067641087273,6280.608389200721,3263.3789877978384,400.0
5,59915.548042040326,56910.57774394789,53905.60744950062,50900.63723378185,47895.66876334092,44890.74463578536,41887.90121193555,37978.28282184482,34068.66450366081,30159.047429805574,26249.452195393806,22340.27669596362,18442.022963748488,15413.873145209964,12385.728898658524,9357.651059242075,6330.44146313634,3317.1935494978884,500.0
6,59961.78685465714,56956.81655661822,53951.84626332153,50946.87607241949,47941.90814792521,44936.997357524444,41934.66348525045,38025.04509644424,34115.42680044507,30205.810110251583,26296.221578162105,22387.17136537747,18491.98737299707,15463.837706718658,12435.695247800504,9407.638565157376,6380.696113992046,3371.7785686458597,600.0
7,60008.16771255191,57003.19741457338,53998.22712257505,50993.256959665705,47988.28964976196,44983.39371609392,41981.59307147421,38071.974684082285,34162.35641250879,30252.740144671185,26343.158983269725,22434.245708971703,18542.380224671106,15514.23072219521,12486.090186152944,9458.056227163666,6431.398922962332,3427.183074352067,700.0
8,60054.704067423736,57049.73376951328,54044.76347897729,51039.79334758611,48034.82672828714,45029.947311358905,42028.702831151735,38119.08444531459,34209.4662005929,30299.8503969981,26390.277328866665,22481.513481858652,18593.2282212335,15565.078894569853,12536.9404220898,9508.930812403009,6482.57710372021,3483.4573532916825,800.0
9,60101.41028621471,57096.43998838074,54091.46969948891,51086.499603521,48081.53375882497,45076.67266774462,42076.00629282749,38166.387908696976,34256.76969344903,30347.154399356517,26437.59020423804,22528.989142555733,18644.558690459675,15616.40955205823,12588.27328894847,9560.289708722885,6534.258414485665,3540.652801155786,900.0
