,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,96096.28477433864,91346.04117781983,86595.79752470157,81845.5528536599,77095.34231569718,72344.60889796575,67597.7748028611,60891.67248278616,54185.57007252619,47479.468566785385,40773.44387736666,34069.26729898114,27386.282361940084,22857.87005853908,18329.436522905,13800.872152321053,9271.422223795451,4732.515142178952,0.0
1,96143.39239508993,91393.14879414641,86642.90532544507,81892.6576008393,77142.47391721088,72391.80803664467,67639.08875678392,60932.9864414747,54226.88402789246,47520.779831256994,40814.673920709865,34109.362944781686,27419.4895247917,22891.079659751675,18362.66105691687,13834.19408498686,9305.617511523345,4788.372438704402,300.0
2,96191.27447856068,91441.03087249523,86690.78760187647,81940.53667620994,77190.38013030277,72439.80784704699,67680.98447282685,60974.88216245976,54268.779749985486,47562.67290386945,40856.48478563037,34150.003628382685,27452.99877745839,22924.591581958186,18396.189315041076,13867.828381210817,9340.181099430665,4846.6091368339785,600.0
3,96239.9370350838,91489.69342318541,86739.45036422841,81989.19609479839,77239.0668848033,72488.61528894326,67723.4761371302,61017.37383188105,54311.27142526761,47605.16198143926,40898.89084088525,34191.20484721458,27486.8313568625,22958.42707768386,18430.04264291145,13901.79689346446,9375.135561197436,4907.385047123361,900.0
4,96289.3842981003,91539.14067964976,86788.89784573417,82038.64009591681,77288.53833111984,72538.23535542734,67766.57725755725,61060.47495760091,54354.37256190928,47648.26058223648,40941.90577943015,34232.981590824194,27521.0092129611,22992.608112775084,18464.243100985863,13936.122188174548,9410.503845796688,4970.864397224498,1200.0
5,96339.61870035424,91589.37507463011,86839.13247881815,82088.87111936575,77338.79681713809,72588.6710290432,67810.30060391745,61104.1983094275,54398.09593000854,47691.98148606224,40985.54255638998,34275.34827486966,27555.554953281324,23027.15731084049,18498.81340840288,13970.827485438167,9446.30918281155,5037.215311503972,1500.0
6,96390.64086355885,91640.39722984344,86890.1548847592,82139.88979509356,77389.84287864668,72639.92325308894,67854.65815118908,61148.55586233753,54442.453504809666,47736.33667731878,41029.813329841556,34318.31867608287,27590.491778811753,23062.097889035478,18533.776878108205,14005.936589629597,9482.574980078723,5106.60922662901,1800.0
7,96442.44960165447,91692.20595924056,86941.96387694725,82191.69494643268,77441.67524339719,72691.99091862736,67899.66102626611,61193.558743223286,54487.4564134462,47781.337291597985,41074.72940494791,34361.90586868206,27625.843411245874,23097.453585186176,18569.15734324742,14041.473810911943,9519.32471430607,5179.220244638084,2100.0
8,96495.04193759702,91744.79828579444,86994.55647767166,82244.28360684887,77494.29084872892,72744.8708675357,67945.31779239091,61239.21551511914,54533.11323516771,47826.992522500695,41120.30118196878,34406.12216272297,27661.634011672744,23133.2485763485,18604.979074920822,14077.463877773665,9556.581815447178,5241.8652208882295,2400.0
9,96548.41313343128,91798.16947157371,87047.92794819582,82297.65104996024,77547.68487250211,72798.55791172458,67991.63422277686,61285.531951377045,54579.42972875982,47873.30760301489,41166.538108653636,34450.9790448782,27697.88809091615,23169.507389003287,18641.26669150428,14113.931840825648,9594.369545748134,5272.209193991998,2700.0
10,96602.55673322451,91852.31306067645,87102.07183169435,82351.79083239876,77601.85077690327,72853.04486844748,68038.61789344973,61332.51562801171,54626.4134704306,47920.29012134038,41213.44771734033,34496.48712213081,27734.630411832135,23206.25480119843,18678.04505984991,14150.90296821199,9632.710874505716,5302.611713181455,3000.0
11,96657.46461826137,91907.2209344248,87156.98000845264,82406.69484891724,77656.78036451129,72908.32261140918,68086.27528999205,61380.17303059393,54674.07094590516,47967.946574362686,41261.03326301453,34542.656068860255,27771.885883987186,23243.5157370605,18715.339188794278,14188.402633109941,9671.628349691257,5333.081807952266,3300.0
12,96713.1270737367,91962.88337805783,87212.64276256626,82462.35339897772,77712.4638458487,72964.38013717119,68134.61177277754,61428.50951948502,54722.40751565706,48016.28233275465,41309.30037651939,34589.49457778524,27809.679451251297,23281.315154211592,18753.174115515772,14226.45619391638,9711.143967695913,5363.629732310699,3600.0
13,96752.91009429884,92002.66646412892,87252.42156272037,82502.21112403595,77751.52475638012,73003.7396756517,68183.63154794849,61477.529300814414,54771.42738588282,48065.3016118252,41358.25352422592,34637.01031521107,27848.035972952777,23319.677924738964,18791.574785396657,14265.088867840017,9751.27904253916,5394.267102613112,3900.0
14,96784.94151536813,92034.69788721655,87284.45297048222,82534.2424335585,77783.56146912614,73035.68630841162,68233.33764441844,61527.235403482104,54821.13358550204,48115.00744840004,41407.89598256637,34685.20988100539,27886.98009935029,23358.62871047476,18830.565926156243,14304.325598737132,9792.054075950364,5425.007046497952,4200.0
15,96817.18122009197,92066.93759406268,87316.69266210294,82566.48200260359,77815.80694759892,73067.83601719388,68283.73189713273,61577.62966241961,54871.52794941586,48165.401683968186,41458.229818868436,34734.09877370059,27926.53614228203,23398.191833447378,18870.17191712756,14344.190920142199,9833.4886297802,5455.864363138811,4500.0
16,96849.64588563827,92099.40226183065,87349.15731495302,82598.9465050028,77848.27789815437,73100.20551967401,68334.81493676285,61628.71270828423,54922.61110819948,48216.484954272084,41509.25587869612,34783.68136108776,27966.72794195106,23438.391142465556,18910.416654650908,14384.708814552028,9875.601202223748,5486.855694941488,4800.0
17,96882.35297944593,92132.1093579534,87381.86439670288,82631.65340457446,77880.99181740412,73132.81238083147,68386.58618595311,61680.483963705825,54974.38248434775,48268.256685461834,41560.97377984807,34833.96085663253,28007.57873089522,23479.249876885475,18951.32341464833,14425.902570119033,9918.409109336826,5517.999710684648,5100.0
