,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,190169.27323913123,184645.38209644926,179121.4892834812,173597.5854640194,168073.60844169065,162549.11784351766,157020.16281388642,137266.12666542712,117499.4638309662,97708.88091717203,77873.0149845355,57949.5627164707,37842.3314518899,31580.388949375076,25318.445338350975,19056.55023476232,12793.792955572117,6542.061069053451,0.0
1,190201.81662226803,184677.92566414573,179154.03406666723,173630.13830153056,168106.21670305845,162582.17338208517,157059.2957304309,137305.2576341931,117538.58496391067,97747.96738545672,77912.07745672802,57989.92084528243,37888.4435284451,31626.501206151166,25364.553730558066,19102.706818621482,12839.780150387496,6577.076504070335,300.0
2,190234.5885711726,184710.69781486888,179186.8075464564,173662.92058438197,168139.0594139109,162615.4992187902,157099.09251064493,137345.0523833813,117578.3691750306,97787.71320129906,77951.77285730113,58030.70353012628,37935.2284186887,31673.28628834145,25411.334782704063,19149.5372563294,12886.466800316779,6612.631215217426,600.0
3,190267.6048392414,184743.71430324516,179219.8254855598,173695.94812811993,168172.1527240354,162649.1133465797,157139.5445419017,137385.50248485408,117618.80882169658,97828.11235583031,77992.09400756932,58071.900561335715,37982.69301138968,31720.751084647272,25458.795388019564,19197.048355153594,12933.861288823642,6648.774138622647,900.0
4,190300.88177660614,184776.99148068033,179253.10424375386,173729.2373471744,168205.51339120875,162683.03434947008,157180.64179367825,137426.59791479947,117659.89391226743,97869.15495516028,78033.0329073622,58113.501601830176,38030.84304927283,31768.901337652136,25506.941294687742,19245.245769139397,12981.970714686528,6685.557583543163,1200.0
5,190334.4363062079,184810.54627142937,179286.6607539279,173762.80523074785,168239.15875580377,162717.28136300304,157222.3733908029,137468.32780421426,117701.61361395221,97910.83029144349,78074.58078705285,58155.49624795292,38079.6831002954,31817.741615096194,25555.77707712284,19294.13397075797,13030.80084511237,6723.037348586359,1500.0
6,190368.2858948563,184844.39614365192,179320.51249311073,173796.6693136554,168273.1067101502,162751.874028429,157264.72767370468,137510.68049902364,117743.95631201666,97953.12690258991,78116.72816213644,58197.87408979717,38129.21653520818,31867.275287435656,25605.306113523267,19343.716228917976,13080.35607605091,6761.27282947963,1800.0
7,190402.44851916068,184878.55907533868,179354.67744836505,173830.84764199896,168307.37566253063,162786.8324405715,157307.69226111163,137553.64362264873,117786.90967140805,97996.03263434136,78159.46488994935,58240.62477056818,38179.44551159374,31917.504511880376,25655.530569891114,19393.99459353197,13130.639400174083,6800.327116838383,2100.0
8,190436.9426262661,184913.05351504104,179389.17407747926,173865.35873360827,168341.98449573718,162822.17708938802,157351.25411473733,137597.20414057252,117830.4607003561,98039.53470426748,78202.7802281117,58283.738044539816,38230.37096451098,31968.430223038253,25706.451390647617,19444.96988676449,13181.652382919543,6840.267082334096,2400.0
9,190471.78708936626,184947.8983373785,179424.02126443177,173900.22153322014,168376.95252016326,162857.92879531014,157395.3996054973,137641.348426448,117874.59581550081,98083.61976722786,78246.66289427166,58327.20383317926,38281.99260381329,32020.052130234326,25758.068295910936,19496.641701024935,13233.395146927305,6881.16345162555,2700.0
10,190507.00115802535,184983.11279335173,179459.2382696567,173935.45536242455,168412.29942145557,162894.10863852492,157440.11458079822,137686.06232929105,117919.30090809728,98128.27398184658,78291.10112672996,58371.012279032235,38334.308918140974,32072.368721504918,25810.37978543771,19549.00840370155,13285.866365121128,6923.090862395536,3000.0
11,190542.60440337562,185018.7164555339,179494.84467518056,173971.07986444893,168448.04520280688,162930.73788242205,157485.38443244333,137731.3312413029,117964.56141084942,98173.48307754683,78336.08274552703,58415.15379698466,38387.317185525804,32125.377274204715,25863.383149165693,19602.06714856789,13339.06326260601,6966.127905827559,3300.0
12,190578.61665833066,185054.72915827314,179530.8603247679,174007.11494391665,168484.21012202455,162967.83789152096,157531.1941647052,137777.1401658735,118010.3623649314,98219.23242170119,78381.59521358224,58459.61912254233,38441.01349048008,32179.07387209935,25917.074484230572,19655.813893727554,13392.98162746755,7010.357149869313,3600.0
