AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
JFK,New York J F Kennedy International Apt,0,0,1,81,2,0,0,36,10,2,1,2022-01-01,5,0500 - 0600,2024-08-05 10:04:40,49,39,25,49,A473,Terminal 8 (American),86,35,61,44
JFK,New York J F Kennedy International Apt,254,0,215,10,0,0,0,14,17,10,2,2022-01-01,75,0600 - 0700,2024-08-05 10:04:40,31,16,173,31,A473,Terminal 8 (American),489,13,316,31
JFK,New York J F Kennedy International Apt,381,0,235,103,57,0,0,19,16,27,4,2022-01-01,77,0700 - 0800,2024-08-05 10:04:40,56,26,366,56,A473,Terminal 8 (American),803,14,437,40
JFK,New York J F Kennedy International Apt,79,0,101,82,31,6,0,27,12,10,1,2022-01-01,17,0800 - 0900,2024-08-05 10:04:40,63,36,131,63,A473,Terminal 8 (American),309,21,178,44
JFK,New York J F Kennedy International Apt,83,0,101,0,0,0,0,17,10,5,1,2022-01-01,36,1100 - 1200,2024-08-05 10:04:40,27,18,33,25,A473,Terminal 8 (American),189,16,156,27
JFK,New York J F Kennedy International Apt,155,0,117,113,167,335,7,47,14,28,4,2022-01-01,101,1500 - 1600,2024-08-05 10:04:40,93,51,305,93,A473,Terminal 8 (American),922,45,617,92
JFK,New York J F Kennedy International Apt,50,0,113,0,0,0,0,17,9,3,1,2022-01-01,26,1600 - 1700,2024-08-05 10:04:40,27,22,21,27,A473,Terminal 8 (American),166,16,145,27
JFK,New York J F Kennedy International Apt,89,0,72,0,0,0,0,14,7,3,1,2022-01-01,57,1800 - 1900,2024-08-05 10:04:40,22,13,2,20,A473,Terminal 8 (American),164,14,162,22
JFK,New York J F Kennedy International Apt,142,0,133,218,114,0,0,30,9,23,3,2022-01-01,42,1900 - 2000,2024-08-05 10:04:40,59,31,225,59,A473,Terminal 8 (American),630,29,405,59
JFK,New York J F Kennedy International Apt,121,0,57,91,0,0,0,22,9,7,2,2022-01-01,59,2000 - 2100,2024-08-05 10:04:40,45,21,23,42,A473,Terminal 8 (American),276,22,253,45
JFK,New York J F Kennedy International Apt,44,0,102,0,0,0,0,18,8,5,1,2022-01-01,4,2100 - 2200,2024-08-05 10:04:40,28,19,40,28,A473,Terminal 8 (American),151,17,111,28
JFK,New York J F Kennedy International Apt,236,0,152,142,0,0,0,20,9,16,3,2022-01-01,73,2200 - 2300,2024-08-05 10:04:40,43,27,115,43,A473,Terminal 8 (American),546,18,431,43
JFK,New York J F Kennedy International Apt,86,0,5,0,0,0,0,10,8,3,1,2022-01-02,9,0500 - 0600,2024-08-05 10:04:40,17,11,33,17,A473,Terminal 8 (American),94,9,61,17
JFK,New York J F Kennedy International Apt,335,0,366,62,0,0,0,17,20,23,4,2022-01-02,115,0600 - 0700,2024-08-05 10:04:40,38,20,287,37,A473,Terminal 8 (American),786,15,499,38
JFK,New York J F Kennedy International Apt,351,0,347,16,0,0,0,16,19,17,4,2022-01-02,82,0700 - 0800,2024-08-05 10:04:40,32,18,249,32,A473,Terminal 8 (American),731,14,482,31
JFK,New York J F Kennedy International Apt,69,0,101,106,32,0,0,28,8,10,1,2022-01-02,40,0800 - 0900,2024-08-05 10:04:40,52,33,122,52,A473,Terminal 8 (American),318,25,196,49
JFK,New York J F Kennedy International Apt,342,0,80,0,0,0,0,9,13,15,2,2022-01-02,80,1200 - 1300,2024-08-05 10:04:40,21,10,106,21,A473,Terminal 8 (American),437,9,331,21
JFK,New York J F Kennedy International Apt,122,0,87,103,120,42,0,34,12,14,2,2022-01-02,59,1500 - 1600,2024-08-05 10:04:40,67,36,138,67,A473,Terminal 8 (American),488,33,350,66
JFK,New York J F Kennedy International Apt,129,0,128,97,56,0,0,25,12,8,2,2022-01-02,71,1600 - 1700,2024-08-05 10:04:40,56,35,135,56,A473,Terminal 8 (American),418,21,283,55
JFK,New York J F Kennedy International Apt,102,0,58,0,0,0,0,13,7,5,1,2022-01-02,49,1800 - 1900,2024-08-05 10:04:40,22,13,9,21,A473,Terminal 8 (American),165,13,156,22
